Date,Equity
2004-09-03,10000.0
2004-09-06,10000.0
2004-09-07,9995.0
2004-09-08,10069.040827766734
2004-09-09,10112.705668712344
2004-09-10,10138.240414925413
2004-09-13,10130.902395769668
2004-09-14,10122.482349252034
2004-09-15,10122.482349252034
2004-09-16,10122.482349252034
2004-09-17,10117.421108077408
2004-09-20,10105.709016559986
2004-09-21,10105.709016559986
2004-09-22,10100.656162051706
2004-09-23,10099.818860002513
2004-09-24,10094.768950572512
2004-09-27,10121.07481379361
2004-09-28,10131.79338109738
2004-09-29,10144.909826529263
2004-09-30,10224.319248952788
2004-10-01,10208.693939708004
2004-10-04,10100.313695089222
2004-10-05,10100.313695089222
2004-10-06,10095.263538241677
2004-10-07,10105.104796679552
2004-10-08,10100.052244281213
2004-10-11,10078.892360192616
2004-10-12,10022.434440447814
2004-10-13,10022.434440447814
2004-10-14,10017.423223227592
2004-10-15,10089.913401845575
2004-10-18,10098.101071081228
2004-10-19,10122.218221647658
2004-10-20,10170.61391435644
2004-10-21,10203.803195910048
2004-10-22,10261.009186148987
2004-10-25,10357.566702125281
2004-10-26,10320.347491280601
2004-10-27,10267.344894997841
2004-10-29,10267.344894997841
2004-11-01,10262.211222550342
2004-11-02,10236.172796447796
2004-11-03,10236.172796447796
2004-11-04,10231.054710049573
2004-11-05,10305.47468205358
2004-11-08,10258.543025597392
2004-11-09,10246.265947856065
2004-11-10,10246.265947856065
2004-11-11,10246.265947856065
2004-11-12,10241.142814882138
2004-11-15,10217.394119344048
2004-11-16,10229.620322890623
2004-11-17,10224.505512729178
2004-11-18,10154.492857808722
2004-11-19,10219.743573448457
2004-11-22,10214.633701661733
2004-11-23,10259.219598858936
2004-11-24,10322.430864292428
2004-11-25,10384.92191755865
2004-11-26,10413.875641856237
2004-11-29,10390.36519693502
2004-11-30,10410.975797235547
2004-12-01,10405.770309336931
2004-12-02,10339.322883273406
2004-12-03,10492.765779281099
2004-12-06,10487.519396391459
2004-12-07,10509.566215701409
2004-12-08,10504.311432593558
2004-12-09,10466.727189279196
2004-12-10,10466.727189279196
2004-12-13,10466.727189279196
2004-12-14,10461.493825684556
2004-12-15,10530.597903296552
2004-12-16,10525.332604344903
2004-12-17,10569.138485140904
2004-12-20,10563.853915898335
2004-12-21,10545.619118793871
2004-12-22,10557.701935873898
2004-12-23,10552.423084905962
2004-12-24,10572.690623426748
2004-12-27,10639.60115064683
2004-12-28,10616.144885550893
2004-12-29,10620.943144574274
2004-12-30,10615.632673001988
2004-12-31,10566.415155574103
2005-01-03,10486.860352131931
2005-01-04,10486.860352131931
