Date,Equity
2004-09-03,10000.0
2004-09-06,10000.0
2004-09-07,10000.0
2004-09-08,10000.0
2004-09-09,10000.0
2004-09-10,10000.0
2004-09-13,10000.0
2004-09-14,10000.0
2004-09-15,10000.0
2004-09-16,10000.0
2004-09-17,10000.0
2004-09-20,10000.0
2004-09-21,10000.0
2004-09-22,10000.0
2004-09-23,10000.0
2004-09-24,10000.0
2004-09-27,10000.0
2004-09-28,10000.0
2004-09-29,10000.0
2004-09-30,10073.275138745803
2004-10-01,10068.23850117643
2004-10-04,10068.23850117643
2004-10-05,10068.23850117643
2004-10-06,10068.23850117643
2004-10-07,10068.23850117643
2004-10-08,10153.632906229119
2004-10-11,10148.556089776004
2004-10-12,10148.556089776004
2004-10-13,10148.556089776004
2004-10-14,10148.556089776004
2004-10-15,10216.920921497056
2004-10-18,10211.812461036308
2004-10-19,10211.812461036308
2004-10-20,10211.812461036308
2004-10-21,10211.812461036308
2004-10-22,10211.812461036308
2004-10-25,10302.801122792773
2004-10-26,10297.649722231377
2004-10-27,10297.649722231377
2004-10-29,10297.649722231377
2004-11-01,10297.649722231377
2004-11-02,10297.649722231377
2004-11-03,10297.649722231377
2004-11-04,10297.649722231377
2004-11-05,10297.649722231377
2004-11-08,10297.649722231377
2004-11-09,10297.649722231377
2004-11-10,10297.649722231377
2004-11-11,10297.649722231377
2004-11-12,10297.649722231377
2004-11-15,10297.649722231377
2004-11-16,10297.649722231377
2004-11-17,10297.649722231377
2004-11-18,10297.649722231377
2004-11-19,10297.649722231377
2004-11-22,10297.649722231377
2004-11-23,10297.649722231377
2004-11-24,10297.649722231377
2004-11-25,10297.649722231377
2004-11-26,10297.649722231377
2004-11-29,10297.649722231377
2004-11-30,10297.649722231377
2004-12-01,10297.649722231377
2004-12-02,10297.649722231377
2004-12-03,10450.474158927153
2004-12-06,10445.24892184769
2004-12-07,10445.24892184769
2004-12-08,10445.24892184769
2004-12-09,10445.24892184769
2004-12-10,10445.24892184769
2004-12-13,10445.24892184769
2004-12-14,10445.24892184769
2004-12-15,10445.24892184769
2004-12-16,10445.24892184769
2004-12-17,10445.24892184769
2004-12-20,10445.24892184769
2004-12-21,10445.24892184769
2004-12-22,10445.24892184769
2004-12-23,10534.022475670605
2004-12-24,10528.75546443277
2004-12-27,10528.75546443277
2004-12-28,10528.75546443277
2004-12-29,10528.75546443277
2004-12-30,10528.75546443277
2004-12-31,10528.75546443277
2005-01-03,10528.75546443277
2005-01-04,10528.75546443277
2005-01-05,10528.75546443277
2005-01-06,10528.75546443277
2005-01-07,10528.75546443277
2005-01-10,10528.75546443277
