Date,prev_signal,new_signal,trade_cost,equity_before,equity_after
2015-05-03,0,1,0.0005,10000.0,9995.0
2015-05-04,1,0,0.0005,9995.0,9934.124449855444
2015-05-08,0,1,0.0005,9934.124449855444,9929.157387630517
2015-05-09,1,0,0.0005,9929.157387630517,9841.151830243365
2015-06-16,0,1,0.0005,9841.151830243365,9836.231254328244
2015-06-17,1,0,0.0005,9836.231254328244,9767.950626620777
2015-06-27,0,1,0.0005,9767.950626620777,9763.066651307467
2015-06-28,1,0,0.0005,9763.066651307467,9680.900281908383
2015-06-29,0,1,0.0005,9680.900281908383,9676.05983176743
2015-07-01,1,0,0.0005,9899.602567166545,9725.725486364743
2015-07-05,0,1,0.0005,9725.725486364743,9720.86262362156
2015-07-06,1,0,0.0005,9720.86262362156,9612.385101673892
2015-07-10,0,1,0.0005,9612.385101673892,9607.578909123054
2015-07-13,1,0,0.0005,10461.891466495488,9803.56109875095
2015-09-07,0,1,0.0005,9803.56109875095,9798.659318201575
2015-09-09,1,0,0.0005,9951.077742623567,9721.40741488218
2015-10-05,0,1,0.0005,9721.40741488218,9716.54671117474
2015-10-07,1,0,0.0005,9943.46838779812,9812.674231740011
2015-10-11,0,1,0.0005,9812.674231740011,9807.767894624141
2015-10-12,1,0,0.0005,9807.767894624141,9733.462290768946
2015-10-13,0,1,0.0005,9733.462290768946,9728.595559623562
2015-10-18,1,0,0.0005,10541.567689831838,10179.901482959209
2015-10-22,0,1,0.0005,10179.901482959209,10174.81153221773
2015-10-31,1,0,0.0005,12146.817049167117,11616.755188502873
2015-11-02,0,1,0.0005,11616.755188502873,11610.946810908623
2015-11-05,1,0,0.0005,13152.5456123812,12314.62296553533
2015-11-30,0,1,0.0005,12314.62296553533,12308.465654052565
2015-12-01,1,0,0.0005,12308.465654052565,11808.681221725552
2015-12-05,0,1,0.0005,11808.681221725552,11802.77688111469
2015-12-06,1,0,0.0005,11802.77688111469,11791.836622153318
2015-12-07,0,1,0.0005,11791.836622153318,11785.940703842241
2015-12-10,1,0,0.0005,12427.457843423532,12359.065539503858
2015-12-11,0,1,0.0005,12359.065539503858,12352.886006734107
2015-12-12,1,0,0.0005,12352.886006734107,11874.757418156205
2015-12-15,0,1,0.0005,11874.757418156205,11868.820039447128
2015-12-16,1,0,0.0005,11868.820039447128,11594.94478088535
2016-02-14,0,1,0.0005,11594.94478088535,11589.147308494907
2016-02-15,1,0,0.0005,11589.147308494907,11381.107867954977
2016-02-16,0,1,0.0005,11381.107867954977,11375.417314021
2016-02-19,1,0,0.0005,11787.05679406008,11736.764330988619
2016-02-20,0,1,0.0005,11736.764330988619,11730.895948823125
2016-02-22,1,0,0.0005,11774.661175155772,11740.563993882857
2016-03-27,0,1,0.0005,11740.563993882857,11734.693711885917
2016-03-28,1,0,0.0005,11734.693711885917,11658.940913904113
2016-04-15,0,1,0.0005,11658.940913904113,11653.111443447162
2016-04-17,1,0,0.0005,11676.382273018666,11584.178973308597
2016-04-19,0,1,0.0005,11584.178973308597,11578.386883821944
2016-04-22,1,0,0.0005,11945.369194401086,11840.968221993735
2016-04-23,0,1,0.0005,11840.968221993735,11835.047737882738
2016-04-27,1,0,0.0005,12247.654091612652,11665.818387061137
2016-05-27,0,1,0.0005,11665.818387061137,11659.985477867607
2016-05-29,1,0,0.0005,12976.124720200522,12876.099453356084
2016-05-30,0,1,0.0005,12876.099453356084,12869.661403629407
2016-05-31,1,0,0.0005,12869.661403629407,12803.350618196268
2016-06-01,0,1,0.0005,12803.350618196268,12796.94894288717
2016-06-07,1,0,0.0005,13931.617486440196,13710.302636581448
2016-06-11,0,1,0.0005,13710.302636581448,13703.447485263157
2016-06-14,1,0,0.0005,15813.444851414746,15377.346781327387
2016-06-16,0,1,0.0005,15377.346781327387,15369.658107936724
2016-06-17,1,0,0.0005,15369.658107936724,15008.983262666257
2016-09-03,0,1,0.0005,15008.983262666257,15001.478771034925
2016-09-05,1,0,0.0005,15260.58268543242,15201.617288982485
2016-09-06,0,1,0.0005,15201.617288982485,15194.016480337994
2016-09-09,1,0,0.0005,15586.156619734316,15492.147379251135
2016-10-01,0,1,0.0005,15492.147379251135,15484.40130556151
2016-10-02,1,0,0.0005,15484.40130556151,15398.509916034942
2016-10-07,0,1,0.0005,15398.509916034942,15390.810661076925
2016-10-09,1,0,0.0005,15440.286221053178,15373.697443334107
2016-10-11,0,1,0.0005,15373.697443334107,15366.01059461244
2016-10-12,1,0,0.0005,15366.01059461244,15240.910094781173
2016-10-16,0,1,0.0005,15240.910094781173,15233.289639733783
2016-10-17,1,0,0.0005,15233.289639733783,15167.681222093359
2016-10-22,0,1,0.0005,15167.681222093359,15160.097381482314
2016-10-23,1,0,0.0005,15160.097381482314,15147.372578809782
2016-10-25,0,1,0.0005,15147.372578809782,15139.798892520377
2016-10-30,1,0,0.0005,16430.041321003675,16129.14255174644
2016-11-01,0,1,0.0005,16129.14255174644,16121.077980470567
2016-11-03,1,0,0.0005,16363.036477552083,15160.942014346798
2016-11-16,0,1,0.0005,15160.942014346798,15153.361543339624
2016-11-17,1,0,0.0005,15153.361543339624,15080.056338665989
2016-11-18,0,1,0.0005,15080.056338665989,15072.516310496656
2016-11-20,1,0,0.0005,15073.138098674994,14646.921543147888
2016-12-01,0,1,0.0005,14646.921543147888,14639.598082376315
2016-12-03,1,0,0.0005,15043.502524770809,14904.123356503742
2016-12-12,0,1,0.0005,14904.123356503742,14896.671294825492
2016-12-15,1,0,0.0005,14923.27901958395,14850.882972223859
2016-12-16,0,1,0.0005,14850.882972223859,14843.457530737747
2016-12-18,1,0,0.0005,14955.028667015169,14941.896764564455
2016-12-19,0,1,0.0005,14941.896764564455,14934.425816182174
2016-12-24,1,0,0.0005,17309.663372205327,16860.601573193988
2016-12-27,0,1,0.0005,16860.601573193988,16852.17127240739
2016-12-29,1,0,0.0005,17606.546360694607,17553.957211471065
2017-01-01,0,1,0.0005,17553.957211471065,17545.18023286533
2017-01-05,1,0,0.0005,20187.31193669519,17541.25497052318
2017-01-31,0,1,0.0005,17541.25497052318,17532.48434303792
2017-02-05,1,0,0.0005,18829.73781615441,18537.266545621318
2017-02-07,0,1,0.0005,18537.266545621318,18527.99791234851
2017-02-09,1,0,0.0005,18557.999156670834,17309.16203997373
2017-02-20,0,1,0.0005,17309.16203997373,17300.507458953743
2017-02-25,1,0,0.0005,18774.617134816595,18281.724023554892
2017-02-27,0,1,0.0005,18281.724023554892,18272.583161543116
2017-02-28,1,0,0.0005,18272.583161543116,18263.446869962347
2017-03-01,0,1,0.0005,18263.446869962347,18254.315146527366
2017-03-04,1,0,0.0005,19029.723778620253,18721.761553561137
2017-04-06,0,1,0.0005,18721.761553561137,18712.40067278436
2017-04-07,1,0,0.0005,18712.40067278436,18611.368464972646
2017-04-09,0,1,0.0005,18611.368464972646,18602.06278074016
2017-04-10,1,0,0.0005,18602.06278074016,18581.169879671965
