Date,Equity
2004-09-03,10000.0
2004-09-06,10000.0
2004-09-07,10000.0
2004-09-08,10000.0
2004-09-09,10000.0
2004-09-10,9995.0
2004-09-13,9982.768157701934
2004-09-14,9982.768157701934
2004-09-15,9982.768157701934
2004-09-16,9982.768157701934
2004-09-17,9982.768157701934
2004-09-20,9982.768157701934
2004-09-21,9977.776773623083
2004-09-22,9922.479393070787
2004-09-23,9917.518153374253
2004-09-24,9920.68330380852
2004-09-27,9946.535518884233
2004-09-28,9957.069243054832
2004-09-29,9969.959493623075
2004-09-30,10047.999489888414
2004-10-01,10032.643641200784
2004-10-04,9931.148750281716
2004-10-05,9952.16383034272
2004-10-06,9923.767963552142
2004-10-07,9938.403925366247
2004-10-08,10027.666332171146
2004-10-11,10006.65809853671
2004-10-12,9955.608135254752
2004-10-13,9978.203962789321
2004-10-14,10010.417187970159
2004-10-15,10082.856668046621
2004-10-18,10091.038610949458
2004-10-19,10115.138894343221
2004-10-20,10163.500739831828
2004-10-21,10196.666809300697
2004-10-22,10253.832790529772
2004-10-25,10350.322775630488
2004-10-26,10313.129595342532
2004-10-27,10265.320633076744
2004-10-29,10334.551608665954
2004-11-01,10297.338548319063
2004-11-02,10276.359662524572
2004-11-03,10360.755101215333
2004-11-04,10399.49515211105
2004-11-05,10475.140348037497
2004-11-08,10427.436025499053
2004-11-09,10420.170540333698
2004-11-10,10409.556718675722
2004-11-11,10429.024815743436
2004-11-12,10477.338088958286
2004-11-15,10453.041668449168
2004-11-16,10470.776370295744
2004-11-17,10532.029487302236
2004-11-18,10459.911051335963
2004-11-19,10532.354277990458
2004-11-22,10533.177544433402
2004-11-23,10579.15385497693
2004-11-24,10644.336366760095
2004-11-25,10708.77620652495
2004-11-26,10738.632854105907
2004-11-29,10714.389234830209
2004-11-30,10740.999772308809
2004-12-01,10779.634621278266
2004-12-02,10710.799835078296
2004-12-03,10875.111112842726
2004-12-06,10818.438925918765
2004-12-07,10846.590622339383
2004-12-08,10777.03341919889
2004-12-09,10743.861898077035
2004-12-10,10672.48837891373
2004-12-13,10756.174345567864
2004-12-14,10747.295153754842
2004-12-15,10823.660758197448
2004-12-16,10699.462925807542
2004-12-17,10749.343259307256
2004-12-20,10813.070475998542
2004-12-21,10794.405493713113
2004-12-22,10812.170564633374
2004-12-23,10909.468649114906
2004-12-24,10930.4219481163
2004-12-27,10999.596420474914
2004-12-28,10975.346503026525
2004-12-29,10985.794786363964
2004-12-30,11002.848805432364
2004-12-31,10951.836028378106
2005-01-03,10874.855299578745
2005-01-04,10721.979046430308
2005-01-05,10720.413227181474
