2025-12-07 17:44:17 | INFO | dummy_strategy | TrendFollowingStrategy ready. Using pre-calculated SMA_200.
2025-12-07 17:44:19 | INFO | dummy_strategy | TrendFollowingStrategy ready. Using pre-calculated SMA_200.
2025-12-07 17:45:00 | INFO | dummy_strategy | TrendFollowingStrategy ready. Using pre-calculated SMA_200.
2025-12-07 17:45:02 | INFO | dummy_strategy | TrendFollowingStrategy ready. Using pre-calculated SMA_200.
2025-12-07 17:45:48 | INFO | dummy_strategy | TrendFollowingStrategy ready. Using pre-calculated SMA_200.
2025-12-07 17:45:50 | INFO | dummy_strategy | TrendFollowingStrategy ready. Using pre-calculated SMA_200.
2025-12-07 17:49:20 | INFO | dummy_strategy | TrendFollowingStrategy ready. Using pre-calculated SMA_200.
2025-12-07 17:49:22 | INFO | dummy_strategy | TrendFollowingStrategy ready. Using pre-calculated SMA_200.
2025-12-07 17:51:46 | INFO | dummy_strategy | TrendFollowingStrategy ready. Using pre-calculated SMA_200.
2025-12-07 17:51:48 | INFO | dummy_strategy | TrendFollowingStrategy ready. Using pre-calculated SMA_200.
2025-12-07 17:52:52 | INFO | dummy_strategy | TrendFollowingStrategy ready. Using pre-calculated SMA_200.
2025-12-07 17:52:54 | INFO | dummy_strategy | TrendFollowingStrategy ready. Using pre-calculated SMA_200.
2025-12-07 17:57:37 | INFO | mean_reversion | Calculating RSI(14) for Mean Reversion...
2025-12-07 17:58:23 | INFO | mean_reversion | Calculating RSI_2...
2025-12-07 17:58:25 | INFO | mean_reversion | Calculating RSI_2...
2025-12-07 18:30:58 | INFO | mean_reversion | Calculating RSI(14) for Mean Reversion...
2025-12-07 18:31:35 | INFO | mean_reversion | Calculating RSI(14) for Mean Reversion...
2025-12-08 12:47:24 | INFO | mean_reversion | Calculating RSI(14) for Mean Reversion...
2025-12-10 14:59:13 | INFO | mean_reversion | Calculating RSI(14) for Mean Reversion...
2025-12-10 15:01:20 | INFO | mean_reversion | Calculating RSI(14) for Mean Reversion...
2025-12-10 15:04:25 | INFO | mean_reversion | Calculating RSI(14) for Mean Reversion...
2025-12-13 10:10:36 | INFO | mean_reversion | Calculating RSI(14) for Mean Reversion...
2025-12-27 11:11:16 | INFO | mean_reversion | Calculating RSI(14) for Mean Reversion...
2026-03-13 12:40:42 | INFO | mean_reversion | Calculating RSI(14) for Mean Reversion...
2026-03-13 12:40:42 | INFO | dummy_strategy | TrendFollowingStrategy ready. Using pre-calculated SMA_200.
2026-03-13 12:40:42 | INFO | momentum_strategy | MomentumStrategy ready using previous log return sign.
2026-03-13 12:40:42 | INFO | breakout_strategy | BreakoutStrategy ready using RollingHigh20.
2026-03-13 12:40:42 | INFO | ma_cross_strategy | MovingAverageCrossStrategy ready using SMA_50 and SMA_200.
2026-03-13 12:40:42 | INFO | volatility_breakout_strategy | VolatilityBreakoutStrategy ready using ATR14.
2026-03-13 12:40:42 | INFO | momentum_strategy | MomentumStrategy ready using previous log return sign.
